Order Date,Region,Category,Sales,Profit,Profit_Margin_%
2025-05-23,South,Furniture,1885.9,557.41,29.56
2025-06-05,East,Furniture,1877.46,545.44,29.05
2025-07-11,West,Office Supplies,1909.32,535.77,28.06
2025-11-12,Central,Furniture,1927.24,531.1,27.56
2025-08-22,South,Furniture,1998.78,526.35,26.33
2025-06-14,West,Technology,1758.7,521.32,29.64
2025-01-08,West,Technology,1748.32,511.36,29.25
2025-06-20,Central,Technology,1869.06,499.79,26.74
2025-01-14,East,Furniture,1925.73,498.74,25.9
2025-10-21,West,Technology,1698.05,498.61,29.36
